epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6685,1.24826,3.03166,1.31068,0.61992,0.54881,0.56173,0.3805,1.30096,2.08023,1.28632,0.000414583,0.000414583,0.000414583
2,58.4955,1.33041,2.41283,1.34917,0.63898,0.60587,0.63564,0.42314,1.34642,1.72347,1.33963,0.000803819,0.000803819,0.000803819
3,81.2158,1.38658,2.13491,1.39026,0.74164,0.54539,0.63448,0.431,1.35973,2.12144,1.38011,0.00116555,0.00116555,0.00116555
4,105.804,1.35955,1.92471,1.3771,0.62302,0.54537,0.56944,0.35797,1.35411,1.72984,1.32208,0.00112625,0.00112625,0.00112625
5,127.782,1.3145,1.81902,1.34947,0.66393,0.59337,0.65001,0.43715,1.32185,1.59503,1.29305,0.001085,0.001085,0.001085
6,151.776,1.25807,1.68459,1.3071,0.74894,0.69351,0.75314,0.51071,1.2032,1.26303,1.20996,0.00104375,0.00104375,0.00104375
7,174.111,1.22226,1.56349,1.28607,0.80584,0.70945,0.76209,0.53128,1.15815,1.32365,1.18303,0.0010025,0.0010025,0.0010025
8,198.176,1.21574,1.53404,1.26793,0.78049,0.72384,0.76754,0.53341,1.16535,1.22669,1.17727,0.00096125,0.00096125,0.00096125
9,218.026,1.19014,1.44865,1.26198,0.81052,0.74927,0.79013,0.57212,1.1,1.13963,1.15765,0.00092,0.00092,0.00092
10,237.058,1.1486,1.4035,1.23032,0.85793,0.68852,0.78846,0.545,1.15641,1.15106,1.19419,0.00087875,0.00087875,0.00087875
11,255.84,1.14209,1.38002,1.2346,0.8372,0.76102,0.8052,0.58279,1.07248,1.08756,1.13065,0.0008375,0.0008375,0.0008375
12,274.232,1.11542,1.3343,1.2015,0.80604,0.77432,0.8098,0.59219,1.05894,1.06517,1.1246,0.00079625,0.00079625,0.00079625
13,294.111,1.09033,1.29084,1.19021,0.8464,0.79022,0.81579,0.57597,1.1036,1.05887,1.13067,0.000755,0.000755,0.000755
14,312.881,1.0827,1.22811,1.18514,0.85588,0.78004,0.83379,0.61442,1.04548,0.96831,1.11297,0.00071375,0.00071375,0.00071375
15,331.29,1.03699,1.18084,1.16786,0.85556,0.77209,0.83225,0.62773,1.00884,0.98424,1.09433,0.0006725,0.0006725,0.0006725
16,349.715,1.04269,1.17583,1.16472,0.87456,0.80051,0.84975,0.64494,0.99276,0.90119,1.09212,0.00063125,0.00063125,0.00063125
17,367.872,1.02354,1.13539,1.15375,0.89016,0.79545,0.86447,0.64804,0.9999,0.89885,1.08718,0.00059,0.00059,0.00059
18,386.057,1.01507,1.09821,1.1529,0.86193,0.80403,0.8427,0.63851,0.98599,0.95077,1.07711,0.00054875,0.00054875,0.00054875
19,404.232,0.98384,1.06444,1.13581,0.87003,0.81328,0.85948,0.65224,0.954,0.8609,1.05961,0.0005075,0.0005075,0.0005075
20,422.625,0.98745,1.02551,1.1239,0.87146,0.79972,0.86971,0.66306,0.9437,0.8425,1.03951,0.00046625,0.00046625,0.00046625
21,460.8,0.9176,0.98188,1.08813,0.88087,0.8151,0.87599,0.67874,0.94019,0.84206,1.0642,0.000425,0.000425,0.000425
22,478.78,0.90712,0.91662,1.08064,0.90043,0.83786,0.89744,0.69342,0.91087,0.76887,1.0406,0.00038375,0.00038375,0.00038375
23,497.032,0.87931,0.86092,1.05963,0.90228,0.83018,0.88933,0.69241,0.89943,0.78397,1.03032,0.0003425,0.0003425,0.0003425
24,514.989,0.87276,0.83183,1.05059,0.88439,0.84621,0.89118,0.70091,0.88757,0.78037,1.0176,0.00030125,0.00030125,0.00030125
25,533,0.83204,0.78518,1.02994,0.90681,0.82463,0.8996,0.71232,0.87154,0.74936,1.00755,0.00026,0.00026,0.00026
26,551.124,0.82196,0.75453,1.0224,0.92938,0.83125,0.89825,0.71324,0.85969,0.73897,0.99987,0.00021875,0.00021875,0.00021875
27,569.21,0.80646,0.72357,1.01785,0.91512,0.84079,0.89907,0.71126,0.86175,0.73944,1.00689,0.0001775,0.0001775,0.0001775
28,587.34,0.78717,0.70068,1.00824,0.91831,0.8505,0.90371,0.72377,0.84935,0.70784,0.99421,0.00013625,0.00013625,0.00013625
29,605.531,0.77668,0.66362,0.9999,0.94009,0.83958,0.91378,0.73657,0.81239,0.68895,0.97788,9.5e-05,9.5e-05,9.5e-05
30,623.658,0.76811,0.64743,1.00159,0.93583,0.85255,0.91283,0.739,0.81653,0.67154,0.98367,5.375e-05,5.375e-05,5.375e-05
