epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3391,1.22731,2.93731,1.29545,0.39891,0.26683,0.24036,0.15432,1.56539,2.8633,1.61428,0.000414583,0.000414583,0.000414583
2,57.5357,1.39174,1.97423,1.42382,0.51619,0.40121,0.44573,0.24299,1.604,2.55834,1.57519,0.000803819,0.000803819,0.000803819
3,81.9747,1.39454,1.85871,1.42811,0.73369,0.55339,0.61497,0.36739,1.47217,1.93268,1.46565,0.00116555,0.00116555,0.00116555
4,106.014,1.34172,1.76984,1.38203,0.73721,0.52573,0.58871,0.37003,1.43052,1.75222,1.35945,0.00112625,0.00112625,0.00112625
5,130.056,1.29115,1.6292,1.34726,0.56821,0.58709,0.61512,0.38001,1.40385,1.60271,1.35378,0.001085,0.001085,0.001085
6,154.043,1.19348,1.48971,1.27925,0.74849,0.65177,0.69673,0.47858,1.22884,1.38575,1.24812,0.00104375,0.00104375,0.00104375
7,178.049,1.12712,1.38739,1.23619,0.82117,0.72022,0.76918,0.55237,1.09617,1.26374,1.17129,0.0010025,0.0010025,0.0010025
8,202.225,1.07268,1.29955,1.18788,0.82379,0.74308,0.78501,0.58406,1.07136,1.11855,1.13402,0.00096125,0.00096125,0.00096125
9,226.249,1.02461,1.20748,1.16095,0.79208,0.71448,0.77489,0.56707,1.06987,1.09959,1.14352,0.00092,0.00092,0.00092
10,250.263,0.98781,1.15145,1.13779,0.82425,0.73007,0.81226,0.60712,1.04771,1.03658,1.11542,0.00087875,0.00087875,0.00087875
11,274.237,0.938,1.0583,1.10341,0.85865,0.74836,0.82257,0.62183,0.98567,0.99793,1.09536,0.0008375,0.0008375,0.0008375
12,298.265,0.90171,0.99956,1.07629,0.80584,0.78509,0.83345,0.63825,0.98073,0.96549,1.09999,0.00079625,0.00079625,0.00079625
13,322.242,0.86458,0.93134,1.0617,0.8735,0.78114,0.84622,0.66199,0.95137,0.91239,1.08042,0.000755,0.000755,0.000755
14,346.393,0.82816,0.86291,1.04045,0.83604,0.8004,0.84765,0.65907,0.93113,0.89131,1.08134,0.00071375,0.00071375,0.00071375
15,370.412,0.79973,0.81204,1.02306,0.87896,0.76891,0.86224,0.69122,0.87249,0.85975,1.04131,0.0006725,0.0006725,0.0006725
16,394.526,0.77801,0.77562,1.00676,0.87957,0.80809,0.87023,0.69833,0.87448,0.80988,1.03379,0.00063125,0.00063125,0.00063125
17,418.542,0.73964,0.71176,0.98571,0.90507,0.8111,0.87172,0.71087,0.84264,0.78997,1.02323,0.00059,0.00059,0.00059
18,442.703,0.71094,0.65558,0.97359,0.87621,0.8425,0.88527,0.71912,0.84073,0.76411,1.00793,0.00054875,0.00054875,0.00054875
19,466.744,0.68841,0.61579,0.95394,0.88905,0.84942,0.89586,0.74235,0.78675,0.73866,0.99671,0.0005075,0.0005075,0.0005075
20,490.845,0.65878,0.56832,0.94754,0.88977,0.8364,0.89482,0.73351,0.81185,0.72409,1.00895,0.00046625,0.00046625,0.00046625
21,535.555,0.63725,0.53111,0.93456,0.89477,0.85834,0.9013,0.75334,0.77112,0.71598,0.98989,0.000425,0.000425,0.000425
22,559.566,0.60863,0.49758,0.91982,0.90649,0.88457,0.92196,0.775,0.74345,0.66612,0.97525,0.00038375,0.00038375,0.00038375
23,583.602,0.58821,0.45706,0.91326,0.91797,0.8812,0.91677,0.77979,0.7273,0.66858,0.97545,0.0003425,0.0003425,0.0003425
24,607.657,0.55951,0.43672,0.90041,0.92134,0.88625,0.9242,0.78151,0.71504,0.6324,0.96674,0.00030125,0.00030125,0.00030125
25,631.742,0.53981,0.41481,0.89154,0.93594,0.88283,0.92099,0.79296,0.68008,0.63539,0.9503,0.00026,0.00026,0.00026
26,655.769,0.51538,0.38913,0.88143,0.93047,0.88998,0.92497,0.80827,0.65351,0.63998,0.93511,0.00021875,0.00021875,0.00021875
27,679.869,0.49391,0.3708,0.87638,0.92553,0.90735,0.92775,0.80787,0.65215,0.6119,0.9388,0.0001775,0.0001775,0.0001775
28,703.868,0.47179,0.35686,0.86584,0.93884,0.90801,0.93108,0.82029,0.63071,0.60528,0.9307,0.00013625,0.00013625,0.00013625
29,728.775,0.45179,0.33718,0.85753,0.94961,0.89349,0.93345,0.82747,0.62063,0.58757,0.92827,9.5e-05,9.5e-05,9.5e-05
30,753.78,0.43854,0.3283,0.85799,0.95979,0.89418,0.93643,0.83137,0.60885,0.57583,0.92399,5.375e-05,5.375e-05,5.375e-05
