epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7018,1.24959,2.61942,1.31087,0.54822,0.46185,0.44641,0.29488,1.54565,2.64119,1.53923,0.000414583,0.000414583,0.000414583
2,58.0669,1.40205,2.03105,1.4198,0.65162,0.48293,0.54656,0.33439,1.52462,2.5972,1.44499,0.000803819,0.000803819,0.000803819
3,82.4703,1.43539,1.9534,1.43387,0.66075,0.62285,0.66987,0.40994,1.4362,1.80407,1.41795,0.00116555,0.00116555,0.00116555
4,106.609,1.41178,1.85655,1.41812,0.62147,0.50706,0.55546,0.35272,1.39912,1.72802,1.37834,0.00112625,0.00112625,0.00112625
5,130.654,1.35665,1.74667,1.37991,0.77159,0.69209,0.7323,0.48956,1.28757,1.37144,1.30039,0.001085,0.001085,0.001085
6,154.12,1.3051,1.6529,1.33587,0.72248,0.65871,0.70877,0.48562,1.2717,1.34249,1.29171,0.00104375,0.00104375,0.00104375
7,177.246,1.26602,1.5728,1.31687,0.78084,0.65859,0.74634,0.51185,1.22502,1.2353,1.22754,0.0010025,0.0010025,0.0010025
8,200.443,1.23977,1.54367,1.29494,0.79419,0.73769,0.78005,0.54811,1.15101,1.1587,1.18767,0.00096125,0.00096125,0.00096125
9,223.51,1.19888,1.43605,1.27675,0.8265,0.73424,0.80225,0.56161,1.15241,1.10506,1.2081,0.00092,0.00092,0.00092
10,246.654,1.15465,1.39473,1.24437,0.85371,0.73141,0.7884,0.53164,1.22341,1.14486,1.241,0.00087875,0.00087875,0.00087875
11,269.771,1.14619,1.35247,1.23967,0.8508,0.76114,0.81121,0.58407,1.08204,1.05083,1.14558,0.0008375,0.0008375,0.0008375
12,294.084,1.1251,1.30783,1.21186,0.80521,0.74044,0.79194,0.57948,1.10315,1.08349,1.16413,0.00079625,0.00079625,0.00079625
13,317.407,1.0811,1.27073,1.19556,0.81271,0.79826,0.83177,0.62287,1.01154,0.98158,1.10197,0.000755,0.000755,0.000755
14,340.489,1.07024,1.19192,1.18266,0.85923,0.77124,0.82585,0.61199,1.00612,0.98303,1.10792,0.00071375,0.00071375,0.00071375
15,363.469,1.03043,1.16809,1.17434,0.86076,0.80662,0.85643,0.63936,1.01767,0.89495,1.09927,0.0006725,0.0006725,0.0006725
16,386.854,1.03589,1.14286,1.16883,0.86147,0.7978,0.85505,0.64979,1.00194,0.89271,1.10439,0.00063125,0.00063125,0.00063125
17,410.04,1.01362,1.11253,1.15534,0.88701,0.78508,0.85808,0.65352,0.96969,0.85455,1.08555,0.00059,0.00059,0.00059
18,433.691,1.00506,1.07474,1.15549,0.82523,0.81417,0.84969,0.64144,0.98629,0.91686,1.0895,0.00054875,0.00054875,0.00054875
19,457.379,0.96361,1.03324,1.1354,0.87355,0.80774,0.86745,0.66283,0.94515,0.84416,1.0607,0.0005075,0.0005075,0.0005075
20,481.032,0.96032,0.99625,1.11821,0.89983,0.75243,0.85941,0.66756,0.94392,0.85826,1.05438,0.00046625,0.00046625,0.00046625
21,525.498,0.89005,0.94103,1.08422,0.89078,0.78972,0.87311,0.68061,0.90322,0.78516,1.04718,0.000425,0.000425,0.000425
22,549.252,0.88564,0.90306,1.07658,0.88,0.8229,0.8787,0.69138,0.9067,0.78163,1.04938,0.00038375,0.00038375,0.00038375
23,572.819,0.86216,0.83729,1.05977,0.87758,0.82986,0.88595,0.69443,0.89605,0.76105,1.0408,0.0003425,0.0003425,0.0003425
24,596.469,0.84082,0.80497,1.04221,0.9067,0.83035,0.89107,0.71564,0.87318,0.73327,1.02972,0.00030125,0.00030125,0.00030125
25,619.98,0.81304,0.75321,1.03286,0.8869,0.84128,0.89755,0.71939,0.84473,0.70933,1.02346,0.00026,0.00026,0.00026
26,643.485,0.79491,0.72365,1.02259,0.90229,0.85012,0.90153,0.73061,0.82002,0.69704,1.0061,0.00021875,0.00021875,0.00021875
27,667.111,0.77279,0.68327,1.01117,0.90161,0.84691,0.90761,0.73669,0.83186,0.69185,1.01608,0.0001775,0.0001775,0.0001775
28,690.678,0.74956,0.65842,0.9993,0.89875,0.85344,0.90656,0.73606,0.80835,0.68422,1.00349,0.00013625,0.00013625,0.00013625
29,714.225,0.74391,0.62066,0.99165,0.90851,0.86667,0.91068,0.74445,0.792,0.66684,0.99432,9.5e-05,9.5e-05,9.5e-05
30,737.779,0.72306,0.59854,0.98698,0.92842,0.85435,0.91639,0.75024,0.78401,0.64349,0.9903,5.375e-05,5.375e-05,5.375e-05
