epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6694,1.34352,3.33235,1.20147,0.90132,0.01394,0.10281,0.06362,1.20029,3.28415,1.10639,0.000411036,0.000411036,0.000411036
2,30.0964,1.39473,2.63597,1.2119,0.41757,0.15646,0.08106,0.04913,1.41,2.90242,1.39039,0.000800389,0.000800389,0.000800389
3,39.1011,1.46219,2.54497,1.24458,0.37871,0.16626,0.10912,0.06649,1.43742,2.46442,1.35422,0.00116224,0.00116224,0.00116224
4,48.2756,1.43587,2.47715,1.26355,0.43521,0.20725,0.12683,0.08112,1.36982,2.5912,1.23995,0.00112625,0.00112625,0.00112625
5,57.2856,1.43561,2.36418,1.24767,0.45045,0.22266,0.14653,0.0947,1.3351,2.26587,1.23304,0.001085,0.001085,0.001085
6,66.2446,1.39289,2.20251,1.23613,0.44018,0.23297,0.13694,0.088,1.32964,2.20691,1.2603,0.00104375,0.00104375,0.00104375
7,74.8466,1.3957,2.17502,1.21663,0.45198,0.22307,0.16962,0.11003,1.27142,2.03491,1.2132,0.0010025,0.0010025,0.0010025
8,83.0888,1.34794,2.07872,1.1916,0.49768,0.17927,0.15112,0.09854,1.26986,2.36555,1.18583,0.00096125,0.00096125,0.00096125
9,91.0716,1.30913,2.00142,1.1781,0.44567,0.22202,0.16617,0.11208,1.26745,2.01705,1.21101,0.00092,0.00092,0.00092
10,99.3164,1.27172,1.94678,1.1608,0.48545,0.20966,0.19728,0.13464,1.29868,2.09914,1.20272,0.00087875,0.00087875,0.00087875
11,107.379,1.23494,1.90088,1.15488,0.45753,0.2815,0.2385,0.17494,1.16126,1.85598,1.14707,0.0008375,0.0008375,0.0008375
12,115.484,1.26179,1.87953,1.13444,0.35948,0.25384,0.21047,0.1433,1.21521,1.98286,1.17544,0.00079625,0.00079625,0.00079625
13,123.513,1.24736,1.85028,1.14352,0.46054,0.24926,0.17336,0.11809,1.18162,1.96007,1.14684,0.000755,0.000755,0.000755
14,132.039,1.22181,1.78979,1.12371,0.21448,0.33915,0.23477,0.15393,1.19389,1.87441,1.16003,0.00071375,0.00071375,0.00071375
15,140.138,1.17909,1.73298,1.11482,0.23884,0.27753,0.20277,0.13802,1.13434,1.82041,1.12832,0.0006725,0.0006725,0.0006725
16,148.271,1.17064,1.70269,1.10901,0.48894,0.25415,0.19612,0.13887,1.12399,1.8425,1.11411,0.00063125,0.00063125,0.00063125
17,157.031,1.19917,1.7494,1.11867,0.4934,0.24929,0.24054,0.16922,1.10979,1.8539,1.11447,0.00059,0.00059,0.00059
18,166.047,1.14967,1.65552,1.09427,0.52344,0.26432,0.23911,0.16744,1.12001,1.78207,1.12062,0.00054875,0.00054875,0.00054875
19,174.926,1.12718,1.62642,1.08007,0.26197,0.27323,0.23196,0.16368,1.10857,1.76933,1.11123,0.0005075,0.0005075,0.0005075
20,184,1.12924,1.61738,1.09226,0.24754,0.26004,0.21503,0.15365,1.10051,1.79019,1.11106,0.00046625,0.00046625,0.00046625
21,213.345,1.0655,1.64699,1.04593,0.25021,0.30185,0.23943,0.17217,1.10005,1.75958,1.10618,0.000425,0.000425,0.000425
22,222.663,1.04563,1.55792,1.03097,0.54565,0.28311,0.2392,0.16808,1.11857,1.74389,1.11636,0.00038375,0.00038375,0.00038375
23,230.76,1.03611,1.50703,1.02743,0.25152,0.3111,0.24062,0.16762,1.09631,1.74619,1.10894,0.0003425,0.0003425,0.0003425
24,238.703,1.00257,1.48327,1.00933,0.30978,0.37546,0.25838,0.18139,1.10914,1.74693,1.11174,0.00030125,0.00030125,0.00030125
25,246.642,0.99819,1.43677,1.01391,0.32618,0.30703,0.25594,0.18485,1.07646,1.75893,1.0811,0.00026,0.00026,0.00026
26,254.713,0.98262,1.40549,0.9977,0.29668,0.41396,0.27565,0.20127,1.08517,1.68185,1.09669,0.00021875,0.00021875,0.00021875
27,262.658,0.97722,1.34675,0.98972,0.28653,0.40608,0.27377,0.19868,1.04423,1.67686,1.08073,0.0001775,0.0001775,0.0001775
28,270.791,0.95173,1.30781,0.98454,0.30293,0.41285,0.27693,0.19556,1.05569,1.71787,1.07617,0.00013625,0.00013625,0.00013625
29,278.575,0.94708,1.29501,0.97929,0.31469,0.36352,0.27006,0.19604,1.06165,1.71121,1.07801,9.5e-05,9.5e-05,9.5e-05
30,286.555,0.93954,1.28197,0.98082,0.3431,0.3718,0.28306,0.20513,1.04858,1.69208,1.07137,5.375e-05,5.375e-05,5.375e-05
