epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9628,1.31015,3.42558,1.20188,0.0051,0.52512,0.08809,0.05769,1.13369,3.32058,1.04744,0.000411036,0.000411036,0.000411036
2,25.2935,1.39334,2.82342,1.25158,0.38346,0.14074,0.0947,0.06067,1.4785,2.74019,1.31084,0.000800389,0.000800389,0.000800389
3,33.6008,1.43785,2.6666,1.26439,0.37696,0.18441,0.10201,0.06486,1.3738,2.50927,1.22239,0.00116224,0.00116224,0.00116224
4,41.7766,1.4497,2.55759,1.26767,0.47559,0.18754,0.14009,0.08827,1.35246,2.56637,1.28787,0.00112625,0.00112625,0.00112625
5,50.0098,1.43311,2.40622,1.26464,0.36818,0.15232,0.08983,0.05625,1.34112,3.57043,1.24084,0.001085,0.001085,0.001085
6,58.6442,1.40183,2.31886,1.24668,0.40203,0.20766,0.14558,0.09469,1.33586,2.15872,1.25627,0.00104375,0.00104375,0.00104375
7,66.8028,1.40353,2.24721,1.2292,0.43412,0.21685,0.14849,0.09917,1.3006,2.10759,1.22778,0.0010025,0.0010025,0.0010025
8,75.0116,1.34501,2.11891,1.22924,0.49578,0.21621,0.1879,0.12861,1.23159,1.96597,1.2007,0.00096125,0.00096125,0.00096125
9,83.3868,1.2996,2.02253,1.1986,0.45722,0.20359,0.17164,0.11525,1.24618,2.0481,1.19017,0.00092,0.00092,0.00092
10,91.6431,1.29994,2.0022,1.17785,0.17154,0.26233,0.1906,0.13018,1.18652,1.95125,1.14455,0.00087875,0.00087875,0.00087875
11,99.7639,1.22454,1.91555,1.15335,0.42966,0.23391,0.19481,0.12778,1.24279,2.03166,1.18409,0.0008375,0.0008375,0.0008375
12,108.02,1.25079,1.90885,1.15234,0.24887,0.28305,0.21282,0.14482,1.21194,1.86926,1.18467,0.00079625,0.00079625,0.00079625
13,116.379,1.22663,1.87388,1.15141,0.24659,0.2758,0.23152,0.16766,1.2005,1.88711,1.15501,0.000755,0.000755,0.000755
14,124.588,1.17967,1.7836,1.12411,0.24147,0.26059,0.21637,0.14731,1.18607,1.85661,1.17054,0.00071375,0.00071375,0.00071375
15,132.931,1.17674,1.76524,1.13869,0.21145,0.25598,0.1925,0.13196,1.17598,1.89872,1.16284,0.0006725,0.0006725,0.0006725
16,141.192,1.19592,1.78006,1.11688,0.27399,0.27301,0.21628,0.14871,1.17718,1.81887,1.1391,0.00063125,0.00063125,0.00063125
17,149.353,1.12602,1.69546,1.09432,0.18229,0.28151,0.22148,0.15128,1.12701,1.82234,1.13149,0.00059,0.00059,0.00059
18,157.585,1.0885,1.63891,1.08888,0.21053,0.31117,0.2059,0.14435,1.14887,1.78718,1.13949,0.00054875,0.00054875,0.00054875
19,165.711,1.09341,1.62615,1.06877,0.25664,0.26646,0.24068,0.16486,1.15944,1.83445,1.13121,0.0005075,0.0005075,0.0005075
20,174.114,1.07848,1.61374,1.07725,0.31051,0.26975,0.25794,0.17946,1.10393,1.76132,1.10159,0.00046625,0.00046625,0.00046625
21,203.662,0.99027,1.47269,1.00111,0.19984,0.37787,0.2327,0.16085,1.15296,1.84308,1.13203,0.000425,0.000425,0.000425
22,212.548,0.97409,1.4165,0.99179,0.23424,0.30936,0.24579,0.17443,1.12819,1.79048,1.1335,0.00038375,0.00038375,0.00038375
23,220.582,0.94885,1.3435,0.97614,0.35292,0.32312,0.26615,0.18784,1.10996,1.70325,1.10367,0.0003425,0.0003425,0.0003425
24,228.496,0.92615,1.29542,0.96609,0.27852,0.33714,0.24373,0.16601,1.13032,1.77182,1.11639,0.00030125,0.00030125,0.00030125
25,236.946,0.91533,1.24758,0.96135,0.25797,0.32448,0.25838,0.17541,1.10005,1.72069,1.11211,0.00026,0.00026,0.00026
26,244.94,0.89964,1.20596,0.95082,0.30517,0.37083,0.27155,0.18373,1.09155,1.74355,1.11283,0.00021875,0.00021875,0.00021875
27,252.939,0.88916,1.17389,0.94322,0.34945,0.33782,0.26918,0.18847,1.10204,1.73239,1.10481,0.0001775,0.0001775,0.0001775
28,260.975,0.87341,1.10606,0.93224,0.32541,0.35585,0.27457,0.19139,1.12182,1.75205,1.12372,0.00013625,0.00013625,0.00013625
29,268.887,0.87327,1.09246,0.93952,0.31951,0.29706,0.25532,0.17745,1.08992,1.7939,1.10658,9.5e-05,9.5e-05,9.5e-05
30,276.76,0.85004,1.06413,0.93277,0.31131,0.38793,0.26827,0.1869,1.0934,1.75866,1.10658,5.375e-05,5.375e-05,5.375e-05
