epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2218,1.27705,3.58862,1.1596,0.42499,0.04692,0.07963,0.05098,1.16012,3.23702,1.08024,0.000411036,0.000411036,0.000411036
2,29.4304,1.34679,2.97479,1.18859,0.35305,0.18701,0.09092,0.05691,1.37142,2.85723,1.30202,0.000800389,0.000800389,0.000800389
3,38.3228,1.38695,2.76591,1.20132,0.39314,0.1541,0.11272,0.06226,1.45824,2.5586,1.3225,0.00116224,0.00116224,0.00116224
4,47.122,1.39275,2.59243,1.20844,0.47128,0.13031,0.12821,0.0768,1.43357,2.52268,1.32361,0.00112625,0.00112625,0.00112625
5,55.7502,1.34708,2.41194,1.18537,0.42264,0.20871,0.13713,0.08531,1.38147,2.25331,1.25372,0.001085,0.001085,0.001085
6,63.8095,1.3085,2.24523,1.16012,0.44167,0.20185,0.14326,0.0899,1.35335,2.22119,1.23821,0.00104375,0.00104375,0.00104375
7,71.7397,1.27245,2.14543,1.13725,0.47062,0.20143,0.19078,0.12506,1.31641,2.2512,1.22536,0.0010025,0.0010025,0.0010025
8,79.728,1.25853,2.03425,1.12637,0.37736,0.23931,0.18777,0.12879,1.22714,2.1152,1.19619,0.00096125,0.00096125,0.00096125
9,87.5857,1.20433,1.92105,1.10549,0.44133,0.22406,0.17299,0.1142,1.24648,2.09328,1.20089,0.00092,0.00092,0.00092
10,95.443,1.19037,1.88489,1.0974,0.16217,0.27394,0.17752,0.11969,1.24696,2.00736,1.18669,0.00087875,0.00087875,0.00087875
11,103.341,1.17683,1.83782,1.08346,0.43444,0.29152,0.22587,0.15484,1.24308,1.87739,1.19021,0.0008375,0.0008375,0.0008375
12,111.346,1.13075,1.7497,1.06029,0.28375,0.31131,0.20659,0.14603,1.2161,1.88059,1.17212,0.00079625,0.00079625,0.00079625
13,119.684,1.11013,1.72142,1.04558,0.17257,0.24157,0.19268,0.13576,1.19375,1.91954,1.16596,0.000755,0.000755,0.000755
14,127.539,1.09229,1.66991,1.03923,0.24549,0.24582,0.20161,0.13925,1.19982,1.88448,1.1662,0.00071375,0.00071375,0.00071375
15,135.488,1.05114,1.60735,1.01916,0.20473,0.24877,0.2065,0.14355,1.16469,1.88739,1.14827,0.0006725,0.0006725,0.0006725
16,143.466,1.05805,1.57681,1.02346,0.20883,0.37916,0.23407,0.16735,1.17283,1.81618,1.15003,0.00063125,0.00063125,0.00063125
17,151.185,1.01944,1.51341,1.00153,0.21299,0.28549,0.20392,0.14082,1.18615,1.85526,1.1575,0.00059,0.00059,0.00059
18,159.14,1.003,1.45756,0.99476,0.25219,0.24429,0.22006,0.15879,1.1671,1.88586,1.16057,0.00054875,0.00054875,0.00054875
19,166.995,0.9727,1.40595,0.98074,0.23303,0.33899,0.21886,0.15507,1.12117,1.78211,1.1349,0.0005075,0.0005075,0.0005075
20,175.014,0.96047,1.34383,0.97515,0.17748,0.33443,0.22589,0.16083,1.13221,1.79833,1.13319,0.00046625,0.00046625,0.00046625
21,202.642,0.9466,1.32639,0.9683,0.22948,0.32713,0.22379,0.16085,1.12154,1.92383,1.13087,0.000425,0.000425,0.000425
22,211.082,0.93341,1.26394,0.95874,0.22007,0.26167,0.20427,0.1484,1.11355,1.9232,1.11397,0.00038375,0.00038375,0.00038375
23,218.965,0.90803,1.21231,0.9572,0.19107,0.31022,0.21022,0.15046,1.13197,1.85568,1.13153,0.0003425,0.0003425,0.0003425
24,226.833,0.8842,1.15384,0.93205,0.36666,0.25392,0.23491,0.16883,1.09717,1.88573,1.11571,0.00030125,0.00030125,0.00030125
25,234.636,0.87996,1.1088,0.93674,0.2432,0.31502,0.24213,0.17668,1.11942,1.89154,1.13082,0.00026,0.00026,0.00026
26,242.537,0.85583,1.07697,0.92798,0.23875,0.32721,0.25113,0.18263,1.09548,1.81295,1.10696,0.00021875,0.00021875,0.00021875
27,250.613,0.83642,1.00788,0.92168,0.25037,0.35038,0.2473,0.18141,1.0767,1.83718,1.11015,0.0001775,0.0001775,0.0001775
28,258.498,0.83458,0.95513,0.91991,0.24883,0.3586,0.24358,0.17183,1.09113,1.88883,1.12432,0.00013625,0.00013625,0.00013625
29,266.513,0.82403,0.93562,0.91232,0.27961,0.34365,0.24691,0.17621,1.09413,1.90403,1.12797,9.5e-05,9.5e-05,9.5e-05
30,274.408,0.8002,0.92275,0.91289,0.34101,0.28945,0.25125,0.1809,1.08645,1.86613,1.12152,5.375e-05,5.375e-05,5.375e-05
