epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6776,1.2848,3.25218,1.17604,0.01167,0.37238,0.08449,0.05575,1.13108,3.28858,1.03803,0.000365329,0.000365329,0.000365329
2,20.3376,1.31453,2.55816,1.18528,0.3383,0.13215,0.09594,0.06167,1.31097,2.51673,1.14611,0.000699247,0.000699247,0.000699247
3,28.7298,1.36084,2.47578,1.20085,0.3108,0.15589,0.09135,0.0598,1.32217,2.46007,1.19011,0.000996502,0.000996502,0.000996502
4,37.7396,1.32211,2.30803,1.20514,0.35204,0.17659,0.10488,0.06702,1.34831,2.1983,1.1844,0.000946016,0.000946016,0.000946016
5,46.9287,1.34932,2.2396,1.18722,0.50589,0.13709,0.08756,0.05678,1.34041,2.80399,1.15469,0.000891022,0.000891022,0.000891022
6,55.1833,1.28523,2.08608,1.1702,0.28859,0.20126,0.09841,0.06632,1.22858,2.22408,1.11008,0.000836027,0.000836027,0.000836027
7,63.8066,1.28959,2.05173,1.17045,0.33731,0.204,0.11737,0.07909,1.23149,2.17069,1.1044,0.000781033,0.000781033,0.000781033
8,71.7209,1.24229,1.96082,1.14917,0.30985,0.20722,0.10481,0.07107,1.20695,2.22504,1.0955,0.000726038,0.000726038,0.000726038
9,79.7218,1.18596,1.86874,1.12013,0.33511,0.17744,0.12937,0.09169,1.22227,2.18558,1.10525,0.000671044,0.000671044,0.000671044
10,87.986,1.21086,1.83073,1.12443,0.35495,0.26818,0.1423,0.10046,1.18942,2.13634,1.07956,0.000616049,0.000616049,0.000616049
11,117.23,1.15547,1.88495,1.07872,0.34712,0.20589,0.12313,0.08531,1.18043,1.97188,1.08378,0.000561055,0.000561055,0.000561055
12,125.259,1.10168,1.81237,1.06709,0.42992,0.22501,0.15493,0.11068,1.12874,1.93178,1.0792,0.00050606,0.00050606,0.00050606
13,133.339,1.08466,1.74934,1.05344,0.43528,0.19971,0.14978,0.10424,1.17284,1.94246,1.09271,0.000451066,0.000451066,0.000451066
14,141.403,1.05519,1.67296,1.03862,0.42858,0.23191,0.16514,0.1232,1.12365,1.89113,1.06811,0.000396071,0.000396071,0.000396071
15,149.263,1.05386,1.6136,1.03711,0.36154,0.19052,0.14339,0.10088,1.11176,1.92002,1.07387,0.000341077,0.000341077,0.000341077
16,157.357,1.02617,1.59715,1.03192,0.40925,0.26139,0.15664,0.10835,1.12316,1.90831,1.07287,0.000286083,0.000286083,0.000286083
17,164.728,1.01981,1.52246,1.01514,0.44999,0.23091,0.18476,0.13423,1.08689,1.83569,1.06159,0.000231088,0.000231088,0.000231088
18,172.929,0.97762,1.47132,0.99707,0.43989,0.24969,0.20124,0.1498,1.05467,1.78738,1.0477,0.000176094,0.000176094,0.000176094
19,181.016,0.96763,1.44604,0.99594,0.4996,0.22327,0.1927,0.1409,1.05955,1.76134,1.04855,0.000121099,0.000121099,0.000121099
20,188.587,0.95214,1.3805,0.98892,0.49715,0.2287,0.18487,0.1395,1.05306,1.77079,1.04788,6.61045e-05,6.61045e-05,6.61045e-05
