epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7177,1.26181,3.17305,1.16573,0.05343,0.35886,0.0772,0.05313,1.18827,3.33714,1.06919,0.000411036,0.000411036,0.000411036
2,19.1672,1.31724,2.51841,1.18687,0.11737,0.12203,0.06806,0.03687,1.53028,2.75647,1.29019,0.000800389,0.000800389,0.000800389
3,26.541,1.37858,2.40317,1.21391,0.39792,0.26609,0.11281,0.06987,1.40945,2.77372,1.18833,0.00116224,0.00116224,0.00116224
4,34.2976,1.37321,2.31768,1.2178,0.3809,0.18339,0.07373,0.0413,1.49289,2.80709,1.29789,0.00112625,0.00112625,0.00112625
5,42.488,1.35817,2.19195,1.2043,0.12913,0.23088,0.10945,0.06897,1.32106,2.44586,1.13996,0.001085,0.001085,0.001085
6,50.3276,1.3272,2.07343,1.19447,0.3929,0.2373,0.13124,0.08347,1.34213,2.12018,1.15551,0.00104375,0.00104375,0.00104375
7,58.6751,1.30135,2.03138,1.17197,0.36358,0.17436,0.11003,0.06965,1.23434,2.70419,1.11305,0.0010025,0.0010025,0.0010025
8,66.524,1.27673,1.97884,1.17994,0.18451,0.24219,0.12753,0.08552,1.26835,2.21192,1.12662,0.00096125,0.00096125,0.00096125
9,74.3539,1.24499,1.9413,1.15587,0.43345,0.23858,0.16223,0.10369,1.25538,1.96413,1.13255,0.00092,0.00092,0.00092
10,82.668,1.22681,1.86351,1.14495,0.43966,0.23957,0.15491,0.1001,1.2905,2.0697,1.1464,0.00087875,0.00087875,0.00087875
11,90.2623,1.21333,1.80997,1.13064,0.15479,0.24784,0.15192,0.10071,1.19983,2.11291,1.09635,0.0008375,0.0008375,0.0008375
12,98.0578,1.21173,1.77296,1.12382,0.21571,0.26725,0.17125,0.11915,1.18505,2.05667,1.10964,0.00079625,0.00079625,0.00079625
13,106.993,1.18556,1.74903,1.09723,0.21326,0.25472,0.17954,0.1182,1.2056,2.00208,1.08458,0.000755,0.000755,0.000755
14,115.07,1.16759,1.69025,1.11819,0.22723,0.2688,0.16912,0.11522,1.22214,1.99619,1.11733,0.00071375,0.00071375,0.00071375
15,123.414,1.14955,1.65828,1.09705,0.19295,0.27351,0.17947,0.11729,1.19685,1.9792,1.11554,0.0006725,0.0006725,0.0006725
16,131.85,1.16828,1.64305,1.09648,0.48573,0.28829,0.18751,0.12151,1.21614,1.90599,1.10086,0.00063125,0.00063125,0.00063125
17,140.17,1.13012,1.59614,1.09772,0.22876,0.26814,0.18278,0.12087,1.18883,1.91802,1.09055,0.00059,0.00059,0.00059
18,148.179,1.07259,1.50604,1.07104,0.21334,0.28906,0.18243,0.11878,1.19123,1.91306,1.09658,0.00054875,0.00054875,0.00054875
19,156.542,1.09749,1.51083,1.06079,0.22938,0.29219,0.18442,0.1284,1.17418,1.93904,1.08811,0.0005075,0.0005075,0.0005075
20,164.973,1.06441,1.47667,1.07061,0.19826,0.26502,0.17072,0.11458,1.16162,1.98714,1.07364,0.00046625,0.00046625,0.00046625
21,193.57,1.02019,1.51614,1.01534,0.19566,0.27644,0.17913,0.11728,1.11627,1.93418,1.06109,0.000425,0.000425,0.000425
22,201.207,1.01113,1.42792,1.01521,0.21195,0.27171,0.18984,0.12389,1.13192,1.9123,1.0869,0.00038375,0.00038375,0.00038375
23,208.698,0.99973,1.40364,1.01139,0.27885,0.24221,0.18859,0.13094,1.11354,1.92463,1.05996,0.0003425,0.0003425,0.0003425
24,216.646,0.96427,1.32909,0.99038,0.21164,0.30869,0.20089,0.13633,1.14029,1.88696,1.07847,0.00030125,0.00030125,0.00030125
25,224.626,0.96712,1.32521,0.98683,0.21355,0.32213,0.20089,0.133,1.13131,1.84353,1.07356,0.00026,0.00026,0.00026
26,232.712,0.93258,1.26151,0.97316,0.24623,0.25186,0.20679,0.14155,1.15662,1.87878,1.08412,0.00021875,0.00021875,0.00021875
27,240.055,0.93636,1.2259,0.97304,0.28933,0.24482,0.2191,0.15041,1.13368,1.84011,1.08477,0.0001775,0.0001775,0.0001775
28,248.1,0.92578,1.17758,0.97687,0.23912,0.27998,0.20339,0.13478,1.14006,1.88533,1.09072,0.00013625,0.00013625,0.00013625
29,256.17,0.89767,1.14807,0.96097,0.2514,0.28123,0.20945,0.13894,1.12882,1.85358,1.0845,9.5e-05,9.5e-05,9.5e-05
30,263.575,0.87465,1.10982,0.95832,0.24819,0.29023,0.21351,0.1447,1.11568,1.86696,1.07667,5.375e-05,5.375e-05,5.375e-05
