epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0487,1.33628,3.2464,1.2398,0.58737,0.07056,0.07794,0.05048,1.11841,3.17716,1.05971,0.000365329,0.000365329,0.000365329
2,20.8882,1.39342,2.63694,1.26331,0.49426,0.15808,0.06653,0.0444,1.29461,2.57092,1.15854,0.000711385,0.000711385,0.000711385
3,29.1214,1.39239,2.552,1.24761,0.51432,0.12849,0.0906,0.05899,1.39205,2.58667,1.21388,0.001033,0.001033,0.001033
4,37.4115,1.39756,2.37614,1.25519,0.51927,0.12868,0.08202,0.05208,1.379,2.44321,1.23657,0.00100101,0.00100101,0.00100101
5,46.7974,1.37889,2.29313,1.26002,0.5742,0.12569,0.10588,0.06909,1.35907,2.32835,1.21463,0.000964348,0.000964348,0.000964348
6,55.0053,1.33878,2.20997,1.23239,0.57076,0.11399,0.09485,0.06387,1.30594,2.21116,1.2201,0.000927685,0.000927685,0.000927685
7,64.0825,1.34628,2.16181,1.21898,0.31884,0.16517,0.07712,0.04898,1.28558,2.44799,1.1624,0.000891022,0.000891022,0.000891022
8,72.5274,1.31666,2.0963,1.19742,0.54786,0.1398,0.10853,0.0737,1.24329,2.14919,1.14811,0.000854359,0.000854359,0.000854359
9,81.2257,1.27877,1.99192,1.18592,0.52765,0.15721,0.11768,0.07642,1.22775,2.05731,1.09966,0.000817696,0.000817696,0.000817696
10,89.775,1.29239,1.99147,1.18682,0.34487,0.18273,0.11439,0.07356,1.24233,2.12964,1.12035,0.000781033,0.000781033,0.000781033
11,97.8425,1.24279,1.90638,1.17034,0.33835,0.17622,0.11855,0.08093,1.21565,2.17009,1.1074,0.00074437,0.00074437,0.00074437
12,106.357,1.22827,1.84507,1.16261,0.40081,0.23697,0.14591,0.10491,1.20927,2.13781,1.11722,0.000707707,0.000707707,0.000707707
13,115.435,1.21133,1.8194,1.15464,0.3722,0.17549,0.13757,0.09756,1.18063,1.98787,1.10314,0.000671044,0.000671044,0.000671044
14,123.921,1.19325,1.81352,1.15079,0.37233,0.19368,0.13309,0.08799,1.19895,1.97531,1.0953,0.000634381,0.000634381,0.000634381
15,132.154,1.15589,1.73111,1.13597,0.38,0.22577,0.13905,0.0986,1.17998,1.98634,1.09829,0.000597718,0.000597718,0.000597718
16,140.825,1.1409,1.69282,1.12685,0.42516,0.1571,0.14551,0.10086,1.15499,1.93734,1.09811,0.000561055,0.000561055,0.000561055
17,149.555,1.17299,1.68133,1.12645,0.39647,0.14568,0.13163,0.08859,1.16536,1.98057,1.11054,0.000524392,0.000524392,0.000524392
18,158.06,1.118,1.6547,1.11905,0.35737,0.16991,0.13922,0.09892,1.15955,1.9545,1.08593,0.000487729,0.000487729,0.000487729
19,166.529,1.13813,1.62732,1.11371,0.35149,0.22025,0.14064,0.09964,1.15054,1.90565,1.08292,0.000451066,0.000451066,0.000451066
20,175.76,1.10696,1.59656,1.09498,0.42912,0.18331,0.16175,0.11587,1.11614,1.84403,1.07989,0.000414403,0.000414403,0.000414403
21,203.95,0.98293,1.4888,0.99627,0.3716,0.22384,0.15619,0.11168,1.15264,1.89159,1.1031,0.00037774,0.00037774,0.00037774
22,211.944,0.97028,1.41818,0.99423,0.38017,0.24931,0.14917,0.10199,1.09956,1.89707,1.05556,0.000341077,0.000341077,0.000341077
23,220.134,0.93316,1.33434,0.98332,0.41139,0.22369,0.15971,0.11446,1.10421,1.89386,1.05486,0.000304414,0.000304414,0.000304414
24,228.087,0.93529,1.29561,0.97983,0.46781,0.19521,0.17833,0.12694,1.09683,1.81984,1.05323,0.000267751,0.000267751,0.000267751
25,235.807,0.92498,1.24995,0.96605,0.44215,0.19709,0.17036,0.12183,1.09134,1.88204,1.06542,0.000231088,0.000231088,0.000231088
26,243.988,0.90511,1.20636,0.95749,0.40156,0.21539,0.17518,0.12376,1.07898,1.8179,1.05568,0.000194425,0.000194425,0.000194425
27,251.613,0.88567,1.14519,0.94737,0.41837,0.21853,0.17455,0.1224,1.08131,1.83117,1.05388,0.000157762,0.000157762,0.000157762
28,260.065,0.87806,1.10755,0.94559,0.48417,0.20271,0.17761,0.12554,1.09233,1.85585,1.05924,0.000121099,0.000121099,0.000121099
29,268.291,0.85298,1.08192,0.93385,0.49027,0.20546,0.17903,0.12617,1.08606,1.79066,1.0668,8.4436e-05,8.4436e-05,8.4436e-05
30,275.697,0.84473,1.03999,0.93756,0.44043,0.24358,0.17741,0.12292,1.07856,1.80825,1.06976,4.7773e-05,4.7773e-05,4.7773e-05
