epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8892,1.30562,3.40536,1.21064,0.33254,0.05715,0.04535,0.02925,1.22994,3.3628,1.16055,0.000365329,0.000365329,0.000365329
2,21.821,1.31469,2.70811,1.2107,0.48585,0.10357,0.04469,0.02754,1.47757,2.99203,1.32775,0.000711385,0.000711385,0.000711385
3,29.5944,1.34529,2.58621,1.22873,0.26771,0.17751,0.07285,0.04711,1.34602,2.53531,1.19262,0.001033,0.001033,0.001033
4,38.0113,1.37019,2.46456,1.23152,0.49984,0.1316,0.07784,0.05018,1.33133,2.44435,1.16909,0.00100101,0.00100101,0.00100101
5,46.873,1.33604,2.34394,1.21314,0.53725,0.1466,0.08161,0.05416,1.33208,2.41416,1.19641,0.000964348,0.000964348,0.000964348
6,55.0749,1.31757,2.22959,1.20428,0.32296,0.22038,0.10909,0.0692,1.32394,2.2187,1.15507,0.000927685,0.000927685,0.000927685
7,63.7151,1.27687,2.11194,1.17088,0.40024,0.21143,0.11398,0.07673,1.29121,2.12245,1.14576,0.000891022,0.000891022,0.000891022
8,72.1159,1.2766,2.03177,1.17909,0.33469,0.1828,0.10914,0.07328,1.25953,2.18994,1.16434,0.000854359,0.000854359,0.000854359
9,79.7798,1.2225,1.94277,1.16175,0.34743,0.16658,0.12789,0.08406,1.27487,2.18667,1.14223,0.000817696,0.000817696,0.000817696
10,87.8678,1.22571,1.91255,1.14562,0.32247,0.18981,0.1195,0.08556,1.22281,2.10299,1.12909,0.000781033,0.000781033,0.000781033
11,95.9331,1.1996,1.85677,1.12412,0.34298,0.19245,0.13267,0.09213,1.18543,2.0794,1.10205,0.00074437,0.00074437,0.00074437
12,104.684,1.18187,1.83735,1.12347,0.35499,0.19348,0.13061,0.08422,1.20038,2.03288,1.14004,0.000707707,0.000707707,0.000707707
13,113.903,1.17644,1.7909,1.10736,0.34338,0.22383,0.13567,0.09617,1.1589,2.06251,1.10489,0.000671044,0.000671044,0.000671044
14,122.4,1.11092,1.69731,1.08847,0.39718,0.151,0.14113,0.09884,1.20791,1.94852,1.11538,0.000634381,0.000634381,0.000634381
15,130.679,1.11386,1.66476,1.0978,0.36355,0.21575,0.14909,0.10249,1.18385,1.93068,1.10709,0.000597718,0.000597718,0.000597718
16,139.182,1.10816,1.61027,1.09455,0.40116,0.18591,0.13549,0.09551,1.15845,1.91914,1.09008,0.000561055,0.000561055,0.000561055
17,147.581,1.07794,1.57585,1.06643,0.42854,0.22167,0.15404,0.10806,1.15983,1.92994,1.09318,0.000524392,0.000524392,0.000524392
18,155.682,1.03284,1.50588,1.05658,0.42235,0.19912,0.16221,0.11695,1.17527,1.96725,1.09298,0.000487729,0.000487729,0.000487729
19,164.001,1.03527,1.4548,1.03832,0.43797,0.20964,0.16909,0.12498,1.14077,1.94033,1.07696,0.000451066,0.000451066,0.000451066
20,172.504,1.03432,1.46697,1.03988,0.42227,0.23909,0.17837,0.13187,1.10955,1.87071,1.06055,0.000414403,0.000414403,0.000414403
21,201.169,0.94201,1.32108,0.97569,0.39785,0.2176,0.14854,0.10312,1.1245,1.94232,1.07563,0.00037774,0.00037774,0.00037774
22,209.048,0.91953,1.25319,0.96193,0.52224,0.18327,0.18114,0.13186,1.12211,1.89687,1.06834,0.000341077,0.000341077,0.000341077
23,216.748,0.89966,1.19733,0.94875,0.41804,0.19859,0.15783,0.11396,1.12939,1.91347,1.07621,0.000304414,0.000304414,0.000304414
24,224.447,0.88358,1.14559,0.9499,0.44534,0.21293,0.18501,0.13412,1.11711,1.91448,1.07006,0.000267751,0.000267751,0.000267751
25,232.002,0.86884,1.09868,0.9301,0.42353,0.23243,0.17405,0.12381,1.0974,1.85803,1.07225,0.000231088,0.000231088,0.000231088
26,240.278,0.84684,1.02993,0.92693,0.42325,0.2018,0.17028,0.12382,1.10257,1.85608,1.06374,0.000194425,0.000194425,0.000194425
27,247.868,0.83222,1.00046,0.92965,0.42034,0.20445,0.16752,0.12439,1.10201,1.90605,1.05816,0.000157762,0.000157762,0.000157762
28,256.195,0.82276,0.95549,0.91516,0.43891,0.19197,0.16599,0.12472,1.09999,1.92333,1.06479,0.000121099,0.000121099,0.000121099
29,264.092,0.80895,0.93181,0.9151,0.48828,0.18967,0.16995,0.12538,1.08807,1.87958,1.06301,8.4436e-05,8.4436e-05,8.4436e-05
30,271.409,0.79595,0.90527,0.90673,0.47566,0.20091,0.1753,0.12992,1.08267,1.87182,1.0596,4.7773e-05,4.7773e-05,4.7773e-05
