epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3688,1.3101,3.17077,1.17507,0.54171,0.02358,0.14942,0.11511,1.12411,3.19795,1.09464,0.000411036,0.000411036,0.000411036
2,21.0482,1.3308,2.51443,1.18304,0.39586,0.16233,0.08566,0.05184,1.29758,2.7826,1.23053,0.000786731,0.000786731,0.000786731
3,29.0411,1.38561,2.41888,1.19835,0.16659,0.16114,0.11009,0.07137,1.37538,2.45454,1.28814,0.00112118,0.00112118,0.00112118
4,37.3082,1.38394,2.30999,1.22236,0.38256,0.20877,0.12234,0.07588,1.35316,2.27415,1.2376,0.00106437,0.00106437,0.00106437
5,45.8429,1.37007,2.22646,1.20229,0.65984,0.1948,0.1481,0.09543,1.30004,2.57342,1.23292,0.0010025,0.0010025,0.0010025
6,54.2088,1.33104,2.08441,1.19617,0.45123,0.25263,0.19213,0.13067,1.26644,2.17378,1.19347,0.000940625,0.000940625,0.000940625
7,63.0604,1.3212,2.0475,1.18064,0.42218,0.25693,0.20445,0.14519,1.24397,1.96328,1.17075,0.00087875,0.00087875,0.00087875
8,71.2318,1.29885,1.95699,1.16355,0.42068,0.30211,0.22075,0.14721,1.23481,1.91757,1.17826,0.000816875,0.000816875,0.000816875
9,79.2728,1.22694,1.91208,1.13966,0.45291,0.25173,0.19412,0.13188,1.18097,1.96166,1.16512,0.000755,0.000755,0.000755
10,87.6055,1.20179,1.82949,1.12197,0.25397,0.25332,0.20048,0.14125,1.21835,1.96772,1.17326,0.000693125,0.000693125,0.000693125
11,116.352,1.16674,1.92461,1.08793,0.43118,0.25807,0.21488,0.1494,1.19131,1.93789,1.15353,0.00063125,0.00063125,0.00063125
12,123.677,1.14079,1.80706,1.07413,0.30329,0.31887,0.25274,0.17987,1.18929,1.90035,1.14857,0.000569375,0.000569375,0.000569375
13,131.116,1.1308,1.77099,1.07924,0.21808,0.26325,0.21357,0.14636,1.20664,1.86739,1.14034,0.0005075,0.0005075,0.0005075
14,138.977,1.0831,1.6929,1.04256,0.354,0.30176,0.2324,0.169,1.13383,1.82513,1.12308,0.000445625,0.000445625,0.000445625
15,146.842,1.06817,1.64628,1.03308,0.32764,0.33109,0.24539,0.17309,1.13171,1.7569,1.12125,0.00038375,0.00038375,0.00038375
16,154.327,1.03983,1.58891,1.03289,0.26815,0.35825,0.24288,0.17414,1.16141,1.75848,1.14898,0.000321875,0.000321875,0.000321875
17,161.744,1.0402,1.52501,1.01751,0.31054,0.35684,0.27473,0.19687,1.11764,1.7111,1.11568,0.00026,0.00026,0.00026
18,169.325,0.99825,1.45888,1.00097,0.25388,0.31959,0.26265,0.18615,1.12331,1.77641,1.11464,0.000198125,0.000198125,0.000198125
19,177.446,0.98061,1.44307,0.98917,0.26996,0.33707,0.27075,0.19203,1.12707,1.73473,1.12246,0.00013625,0.00013625,0.00013625
20,184.459,0.97812,1.40397,0.98222,0.36585,0.36617,0.28666,0.20072,1.12856,1.67357,1.12099,7.4375e-05,7.4375e-05,7.4375e-05
