epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0199,1.29298,3.2768,1.18409,0.13344,0.26484,0.12816,0.09094,1.15508,3.05597,1.12248,0.000411036,0.000411036,0.000411036
2,19.5935,1.32903,2.6529,1.21363,0.20938,0.30475,0.14532,0.10029,1.323,2.61324,1.26556,0.000800389,0.000800389,0.000800389
3,27.1648,1.37707,2.51933,1.23007,0.42525,0.23161,0.13916,0.08881,1.36958,2.40739,1.23821,0.00116224,0.00116224,0.00116224
4,35.539,1.40328,2.43912,1.23066,0.45978,0.19545,0.151,0.0953,1.34506,2.194,1.23991,0.00112625,0.00112625,0.00112625
5,43.728,1.36632,2.26711,1.22283,0.44596,0.15395,0.14524,0.08993,1.31785,2.25989,1.24369,0.001085,0.001085,0.001085
6,51.7903,1.35659,2.20677,1.21904,0.44503,0.23764,0.17081,0.11406,1.29802,2.20128,1.20523,0.00104375,0.00104375,0.00104375
7,60.2368,1.34339,2.13414,1.20315,0.30214,0.20398,0.19642,0.13209,1.27139,2.00917,1.22625,0.0010025,0.0010025,0.0010025
8,68.6959,1.29982,2.03878,1.19152,0.24996,0.30061,0.20878,0.13761,1.24248,1.99937,1.16999,0.00096125,0.00096125,0.00096125
9,76.6031,1.2686,1.95003,1.17627,0.41455,0.2552,0.20116,0.12928,1.23887,1.98896,1.17673,0.00092,0.00092,0.00092
10,84.538,1.25296,1.91341,1.15187,0.17757,0.27857,0.19521,0.13704,1.208,1.89918,1.15991,0.00087875,0.00087875,0.00087875
11,92.2803,1.191,1.81872,1.12797,0.29648,0.24303,0.21096,0.14659,1.26274,2.14345,1.18177,0.0008375,0.0008375,0.0008375
12,100.428,1.1988,1.81079,1.11941,0.19997,0.36249,0.21376,0.14063,1.2063,1.94036,1.1629,0.00079625,0.00079625,0.00079625
13,108.992,1.19221,1.78833,1.13432,0.23321,0.23235,0.20354,0.14481,1.17751,1.90927,1.14015,0.000755,0.000755,0.000755
14,117.501,1.14239,1.70479,1.09529,0.21881,0.31889,0.20261,0.14115,1.14571,1.88353,1.13408,0.00071375,0.00071375,0.00071375
15,125.659,1.12472,1.66395,1.10567,0.26151,0.23334,0.19373,0.13135,1.14566,1.87913,1.14002,0.0006725,0.0006725,0.0006725
16,134.057,1.14664,1.68384,1.09158,0.27131,0.23921,0.21324,0.15369,1.11179,1.88568,1.11365,0.00063125,0.00063125,0.00063125
17,141.949,1.10844,1.6278,1.08154,0.20525,0.26991,0.19445,0.13302,1.15559,1.88928,1.14113,0.00059,0.00059,0.00059
18,149.752,1.05567,1.5303,1.06346,0.21437,0.3122,0.21398,0.1487,1.14838,1.86869,1.13459,0.00054875,0.00054875,0.00054875
19,157.942,1.05069,1.52364,1.05033,0.22474,0.29941,0.20897,0.14618,1.09918,1.8067,1.11106,0.0005075,0.0005075,0.0005075
20,166.101,1.03398,1.48486,1.05157,0.22906,0.30671,0.23404,0.16704,1.10514,1.75081,1.10407,0.00046625,0.00046625,0.00046625
21,194.296,0.95485,1.35004,0.97551,0.2414,0.34028,0.23797,0.16623,1.1231,1.79046,1.1233,0.000425,0.000425,0.000425
22,201.682,0.93703,1.28323,0.97192,0.28385,0.3285,0.22639,0.15554,1.11886,1.83951,1.12706,0.00038375,0.00038375,0.00038375
23,209.327,0.91021,1.22512,0.9587,0.27482,0.26331,0.2215,0.15512,1.06683,1.85191,1.08687,0.0003425,0.0003425,0.0003425
24,216.919,0.90046,1.17828,0.94503,0.26627,0.2988,0.24134,0.17272,1.1103,1.80132,1.11434,0.00030125,0.00030125,0.00030125
25,224.647,0.88776,1.13935,0.94593,0.26312,0.28747,0.22789,0.15969,1.08413,1.83493,1.09874,0.00026,0.00026,0.00026
26,232.207,0.86183,1.08526,0.93481,0.26559,0.27968,0.22361,0.15689,1.10508,1.81667,1.101,0.00021875,0.00021875,0.00021875
27,239.38,0.85686,1.04566,0.92412,0.27623,0.28721,0.24279,0.17174,1.08619,1.85298,1.1068,0.0001775,0.0001775,0.0001775
28,247.24,0.83472,0.97532,0.91578,0.25066,0.32326,0.22459,0.15995,1.09167,1.86238,1.10615,0.00013625,0.00013625,0.00013625
29,255.172,0.8282,0.9553,0.91644,0.25666,0.31858,0.23514,0.16727,1.08808,1.85275,1.1056,9.5e-05,9.5e-05,9.5e-05
30,262.479,0.8146,0.93609,0.91259,0.28908,0.2643,0.22563,0.15959,1.0739,1.85591,1.0955,5.375e-05,5.375e-05,5.375e-05
