epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14,1.29918,3.46078,1.19126,0.00668,0.49631,0.08701,0.05931,1.19687,3.38532,1.08801,0.000405405,0.000405405,0.000405405
2,19.9912,1.34766,2.69626,1.21764,0.66431,0.02145,0.08277,0.04959,1.34223,3.24755,1.28197,0.000789518,0.000789518,0.000789518
3,26.0414,1.30556,2.51479,1.19547,0.07792,0.12076,0.05446,0.02745,1.4881,3.06708,1.37201,0.00114063,0.00114063,0.00114063
4,34.0082,1.37774,2.42503,1.22798,0.14866,0.23022,0.11243,0.06931,1.41895,2.45853,1.28941,0.0011015,0.0011015,0.0011015
5,40.9724,1.33385,2.26833,1.19596,0.45006,0.15395,0.1169,0.07577,1.37682,3.31748,1.25488,0.001052,0.001052,0.001052
6,48.8292,1.37144,2.23652,1.20777,0.44405,0.23014,0.1626,0.10789,1.41959,2.20374,1.24629,0.0010025,0.0010025,0.0010025
7,55.9154,1.29562,2.0712,1.18042,0.5798,0.17431,0.17328,0.12115,1.31552,2.08819,1.24829,0.000953,0.000953,0.000953
8,63.9537,1.25174,2.0012,1.17405,0.43018,0.20197,0.1497,0.09631,1.32677,2.20773,1.25287,0.0009035,0.0009035,0.0009035
9,70.856,1.23794,1.97447,1.15412,0.21816,0.24052,0.17448,0.11156,1.30141,2.09495,1.22597,0.000854,0.000854,0.000854
10,78.7532,1.22015,1.89491,1.12955,0.29155,0.21591,0.22286,0.15607,1.28072,1.91481,1.20276,0.0008045,0.0008045,0.0008045
11,85.8043,1.19092,1.80368,1.10969,0.48298,0.22134,0.20554,0.13828,1.25123,2.00435,1.19186,0.000755,0.000755,0.000755
12,93.4847,1.16985,1.794,1.11517,0.20711,0.2031,0.17138,0.11846,1.17905,1.96781,1.13697,0.0007055,0.0007055,0.0007055
13,101.295,1.14351,1.69625,1.09201,0.24238,0.27843,0.24414,0.17481,1.18479,1.87923,1.14897,0.000656,0.000656,0.000656
14,108.811,1.12483,1.63136,1.08076,0.36248,0.25051,0.22259,0.15724,1.22877,1.9539,1.17367,0.0006065,0.0006065,0.0006065
15,116.143,1.11656,1.6282,1.09326,0.38824,0.27667,0.25094,0.16928,1.19284,1.82471,1.13764,0.000557,0.000557,0.000557
16,146.284,1.01505,1.49658,0.98947,0.4817,0.29,0.20821,0.13889,1.17674,1.91722,1.12514,0.0005075,0.0005075,0.0005075
17,153.626,1.00121,1.41144,0.98119,0.30996,0.24344,0.23275,0.15312,1.2386,1.88584,1.1567,0.000458,0.000458,0.000458
18,160.512,0.96722,1.36547,0.97087,0.27423,0.29086,0.23637,0.16827,1.19156,1.89893,1.15257,0.0004085,0.0004085,0.0004085
19,167.232,0.94518,1.2707,0.95767,0.27781,0.30476,0.21618,0.15043,1.17689,2.00697,1.15205,0.000359,0.000359,0.000359
20,174.568,0.92228,1.23795,0.95052,0.31289,0.25308,0.23549,0.16825,1.16586,1.78578,1.15654,0.0003095,0.0003095,0.0003095
21,182.135,0.90582,1.18334,0.94782,0.24477,0.25651,0.22873,0.15808,1.18658,1.93074,1.16698,0.00026,0.00026,0.00026
22,189.026,0.87641,1.12485,0.93238,0.26849,0.3417,0.22765,0.15556,1.18183,1.88779,1.16391,0.0002105,0.0002105,0.0002105
23,196.135,0.86074,1.05904,0.93865,0.30645,0.28316,0.22592,0.15765,1.17913,1.97568,1.16195,0.000161,0.000161,0.000161
24,203.031,0.84975,1.0114,0.92456,0.25487,0.27941,0.23228,0.16079,1.17198,1.92283,1.1641,0.0001115,0.0001115,0.0001115
25,210.179,0.83591,0.97588,0.91857,0.23895,0.33137,0.2363,0.16417,1.16652,1.8829,1.15999,6.2e-05,6.2e-05,6.2e-05
