epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7099,1.17204,2.87856,1.16973,0.5332,0.16144,0.14636,0.10047,1.15103,2.40802,1.14284,0.000365329,0.000365329,0.000365329
2,24.2532,1.25427,2.0424,1.18211,0.30893,0.17477,0.07885,0.05095,1.34369,3.60232,1.27682,0.000699247,0.000699247,0.000699247
3,33.3724,1.31012,2.0294,1.21608,0.52237,0.08099,0.07102,0.04714,1.34148,4.08995,1.256,0.000996502,0.000996502,0.000996502
4,42.4196,1.28655,1.9499,1.21064,0.52949,0.16957,0.10099,0.05687,1.34671,2.352,1.26789,0.000946016,0.000946016,0.000946016
5,51.4621,1.32524,1.92877,1.21436,0.52799,0.17367,0.1108,0.07082,1.3054,2.77514,1.17805,0.000891022,0.000891022,0.000891022
6,60.4876,1.27268,1.84999,1.19728,0.55446,0.19368,0.11918,0.0812,1.22605,2.15457,1.17448,0.000836027,0.000836027,0.000836027
7,69.4809,1.24066,1.84378,1.18408,0.34362,0.2121,0.1137,0.07929,1.21705,2.09676,1.15084,0.000781033,0.000781033,0.000781033
8,78.5775,1.2134,1.75256,1.1684,0.31945,0.18691,0.10591,0.07181,1.16876,2.18501,1.10587,0.000726038,0.000726038,0.000726038
9,87.775,1.12025,1.65406,1.11771,0.36683,0.19224,0.12839,0.08642,1.18331,2.15693,1.15727,0.000671044,0.000671044,0.000671044
10,96.8299,1.16042,1.63717,1.12904,0.42551,0.21522,0.16004,0.10768,1.1532,2.01713,1.11613,0.000616049,0.000616049,0.000616049
11,126.153,1.07675,1.63981,1.07293,0.34779,0.20032,0.13308,0.08718,1.17009,1.9727,1.12232,0.000561055,0.000561055,0.000561055
12,135.396,1.05401,1.55213,1.07349,0.39005,0.22789,0.15803,0.10941,1.14866,1.85796,1.12844,0.00050606,0.00050606,0.00050606
13,144.392,1.01898,1.49525,1.04395,0.42431,0.18984,0.17922,0.11665,1.16083,1.79198,1.13726,0.000451066,0.000451066,0.000451066
14,153.495,0.99288,1.44301,1.03897,0.48594,0.22372,0.19553,0.13285,1.15524,1.78041,1.13517,0.000396071,0.000396071,0.000396071
15,162.496,0.98175,1.38724,1.02589,0.39172,0.22931,0.17474,0.12197,1.10587,1.79289,1.10028,0.000341077,0.000341077,0.000341077
16,171.457,0.94837,1.33823,1.01173,0.45237,0.25088,0.18863,0.12494,1.09981,1.7138,1.10652,0.000286083,0.000286083,0.000286083
17,180.398,0.93113,1.24693,0.99338,0.41466,0.24455,0.18302,0.12887,1.05193,1.66154,1.07658,0.000231088,0.000231088,0.000231088
18,189.41,0.88915,1.15964,0.98296,0.43678,0.26154,0.18916,0.13707,1.0764,1.69675,1.08551,0.000176094,0.000176094,0.000176094
19,198.527,0.8721,1.1331,0.97619,0.46773,0.20942,0.18844,0.13568,1.06454,1.70158,1.07659,0.000121099,0.000121099,0.000121099
20,207.532,0.86245,1.06225,0.96957,0.47748,0.21765,0.18389,0.13019,1.05401,1.70988,1.07644,6.61045e-05,6.61045e-05,6.61045e-05
