epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2424,1.24925,3.26022,1.2265,0.11726,0.24872,0.09838,0.06342,1.42322,2.94226,1.30563,0.000405405,0.000405405,0.000405405
2,25.0202,1.28726,2.09054,1.20292,0.39933,0.19067,0.12332,0.07557,1.45542,2.91282,1.3891,0.000805795,0.000805795,0.000805795
3,33.5173,1.31235,2.00235,1.23341,0.43246,0.16128,0.11319,0.06903,1.43269,4.3578,1.41537,0.00118968,0.00118968,0.00118968
4,42.1194,1.38493,2.04602,1.25046,0.01116,0.10981,0.00508,0.00225,2.123,14.5503,1.9033,0.00117575,0.00117575,0.00117575
5,50.6128,1.3449,2.01102,1.23431,0.40491,0.14171,0.08243,0.05482,1.51078,3.85943,1.41471,0.001151,0.001151,0.001151
6,59.1388,1.32218,1.97684,1.21371,0.42486,0.21216,0.1438,0.0956,1.35973,2.6269,1.32209,0.00112625,0.00112625,0.00112625
7,67.6544,1.29516,1.90157,1.21156,0.46945,0.17909,0.14286,0.09634,1.41795,2.6508,1.34254,0.0011015,0.0011015,0.0011015
8,76.2514,1.24284,1.83651,1.16977,0.41938,0.24667,0.15497,0.10148,1.35409,2.24209,1.29488,0.00107675,0.00107675,0.00107675
9,84.9307,1.25706,1.80929,1.18178,0.42548,0.24619,0.17346,0.1225,1.34016,1.99486,1.25556,0.001052,0.001052,0.001052
10,93.532,1.20503,1.73698,1.154,0.44063,0.26343,0.18286,0.13007,1.24547,2.04847,1.19565,0.00102725,0.00102725,0.00102725
11,102.122,1.17264,1.74792,1.15752,0.46224,0.24308,0.20109,0.14662,1.19859,2.16015,1.17861,0.0010025,0.0010025,0.0010025
12,110.853,1.18532,1.67852,1.1429,0.39878,0.20368,0.14818,0.10379,1.26303,2.24684,1.25461,0.00097775,0.00097775,0.00097775
13,119.397,1.16645,1.63081,1.13463,0.19782,0.29039,0.18291,0.1298,1.2058,2.11175,1.18016,0.000953,0.000953,0.000953
14,127.931,1.1482,1.60977,1.12327,0.45859,0.22381,0.18494,0.13119,1.2348,2.13336,1.20991,0.00092825,0.00092825,0.00092825
15,136.454,1.13301,1.58043,1.11873,0.43582,0.32357,0.22216,0.15163,1.16676,1.85959,1.17123,0.0009035,0.0009035,0.0009035
16,145.097,1.11511,1.55004,1.10641,0.18811,0.27169,0.18353,0.12965,1.18486,1.92316,1.20345,0.00087875,0.00087875,0.00087875
17,153.654,1.11469,1.5228,1.1091,0.48372,0.27542,0.22319,0.15988,1.18765,1.87558,1.19358,0.000854,0.000854,0.000854
18,162.277,1.09251,1.47359,1.09158,0.25742,0.19753,0.19226,0.13578,1.17546,1.89841,1.16928,0.00082925,0.00082925,0.00082925
19,170.826,1.06586,1.45878,1.09022,0.28991,0.31613,0.21857,0.15705,1.19858,1.79877,1.1966,0.0008045,0.0008045,0.0008045
20,179.345,1.08006,1.43233,1.09061,0.32932,0.31694,0.23928,0.16778,1.14451,1.78592,1.14984,0.00077975,0.00077975,0.00077975
21,187.841,1.03964,1.39743,1.05874,0.3006,0.3008,0.24288,0.17683,1.12947,1.81009,1.16469,0.000755,0.000755,0.000755
22,196.363,1.04561,1.3683,1.06198,0.4922,0.24014,0.22442,0.15485,1.11848,1.82149,1.15356,0.00073025,0.00073025,0.00073025
23,205.024,1.04137,1.33587,1.04737,0.25974,0.31218,0.216,0.15206,1.10848,1.84767,1.13657,0.0007055,0.0007055,0.0007055
24,213.541,1.0051,1.2853,1.04842,0.2845,0.28332,0.23669,0.16363,1.16193,1.87342,1.16399,0.00068075,0.00068075,0.00068075
25,222.03,0.99302,1.2342,1.04166,0.27946,0.28088,0.22986,0.16903,1.13882,1.7857,1.15401,0.000656,0.000656,0.000656
26,230.614,1.00728,1.28534,1.04285,0.26759,0.30241,0.22967,0.16721,1.13976,1.85444,1.14269,0.00063125,0.00063125,0.00063125
27,239.069,0.96093,1.21744,1.03402,0.31163,0.27437,0.23068,0.16374,1.16229,1.82497,1.18685,0.0006065,0.0006065,0.0006065
28,247.579,0.97379,1.15942,1.03,0.26914,0.2926,0.20084,0.14104,1.16479,1.99891,1.16847,0.00058175,0.00058175,0.00058175
29,256.009,0.93436,1.13955,1.018,0.26241,0.27573,0.21604,0.16138,1.14528,1.82063,1.16625,0.000557,0.000557,0.000557
30,264.514,0.95831,1.13027,1.02297,0.30006,0.29518,0.22531,0.1617,1.15535,1.84357,1.15916,0.00053225,0.00053225,0.00053225
31,272.982,0.94932,1.0664,1.00617,0.30648,0.25492,0.23304,0.16169,1.11642,1.84542,1.15316,0.0005075,0.0005075,0.0005075
32,281.463,0.92813,1.04597,1.01158,0.35793,0.289,0.22944,0.16288,1.14746,1.91471,1.16554,0.00048275,0.00048275,0.00048275
33,289.892,0.91727,1.04284,0.99961,0.25624,0.32255,0.24541,0.17315,1.13025,1.92438,1.17743,0.000458,0.000458,0.000458
34,298.463,0.93625,1.01312,1.00552,0.32099,0.32538,0.251,0.18003,1.17283,1.75165,1.17594,0.00043325,0.00043325,0.00043325
35,306.972,0.89214,0.96973,0.98129,0.42338,0.28189,0.24489,0.16882,1.11001,1.79898,1.15742,0.0004085,0.0004085,0.0004085
36,315.445,0.88894,0.96785,0.98139,0.42856,0.28365,0.25731,0.18538,1.12364,1.904,1.1455,0.00038375,0.00038375,0.00038375
37,324.068,0.91599,0.94332,0.99618,0.42084,0.27667,0.24205,0.16976,1.13138,1.83551,1.15563,0.000359,0.000359,0.000359
38,332.608,0.86776,0.88049,0.97851,0.42763,0.28146,0.25538,0.18099,1.10583,1.89392,1.13302,0.00033425,0.00033425,0.00033425
39,341.059,0.86564,0.86422,0.98126,0.26543,0.35824,0.2382,0.17615,1.08823,1.88868,1.13797,0.0003095,0.0003095,0.0003095
40,349.566,0.83761,0.83449,0.96826,0.39372,0.28938,0.26744,0.1903,1.12766,1.8907,1.16023,0.00028475,0.00028475,0.00028475
41,378.831,0.80098,0.81429,0.92368,0.37595,0.30164,0.266,0.19357,1.10593,1.93089,1.14307,0.00026,0.00026,0.00026
42,388.14,0.79386,0.77729,0.92263,0.39034,0.2517,0.26564,0.19155,1.0998,1.88545,1.14892,0.00023525,0.00023525,0.00023525
43,396.907,0.77558,0.74036,0.91509,0.38008,0.29906,0.25422,0.18196,1.14221,1.97335,1.17329,0.0002105,0.0002105,0.0002105
44,405.327,0.76558,0.7084,0.91053,0.42466,0.30564,0.24684,0.17513,1.13277,1.92488,1.15784,0.00018575,0.00018575,0.00018575
45,413.783,0.75734,0.67582,0.90783,0.47873,0.271,0.25224,0.17978,1.11749,1.9533,1.16614,0.000161,0.000161,0.000161
46,422.207,0.72276,0.64937,0.89767,0.29722,0.30134,0.25121,0.17735,1.12411,1.95498,1.1686,0.00013625,0.00013625,0.00013625
47,430.626,0.72637,0.62538,0.89936,0.311,0.27893,0.24056,0.17119,1.11875,1.91863,1.16682,0.0001115,0.0001115,0.0001115
48,439.042,0.71517,0.60736,0.89042,0.35451,0.27808,0.25408,0.17964,1.13081,1.96383,1.16172,8.675e-05,8.675e-05,8.675e-05
49,447.469,0.69715,0.58063,0.88501,0.34446,0.29102,0.25086,0.1757,1.13435,1.973,1.15883,6.2e-05,6.2e-05,6.2e-05
50,455.954,0.70163,0.5675,0.88822,0.31726,0.29934,0.24562,0.1716,1.14183,2.02057,1.17386,3.725e-05,3.725e-05,3.725e-05
