run,epochs,best_epoch_mAP50,precision,recall,mAP50,mAP50-95,box_loss,cls_loss,dfl_loss,path
yolo8n_oversampling_soft_20,20,20,0.3659,0.3662,0.2867,0.2007,1.1286,1.6736,1.121,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_oversampling_soft_20
yolo8n_stratified_oversampling_20,20,20,0.3659,0.3662,0.2867,0.2007,1.1286,1.6736,1.121,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_stratified_oversampling_20
yolo11n_oversampling_30,30,30,0.3431,0.3718,0.2831,0.2051,1.0486,1.6921,1.0714,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo11n_oversampling_30
yolo8s_oversampling_soft_25,25,25,0.2885,0.3635,0.2788,0.2005,1.1257,1.7159,1.1621,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8s_oversampling_soft_25
yolo11n_oversampling_30_aug,30,28,0.3254,0.3558,0.2746,0.1914,1.1218,1.7521,1.1237,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo11n_oversampling_30_aug
yolo8s_oversampling_soft_50,50,40,0.3937,0.2894,0.2674,0.1903,1.1277,1.8907,1.1602,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8s_oversampling_soft_50
yolo26n_oversampling_30,30,20,0.3326,0.2821,0.253,0.1717,1.439,2.1972,0.007,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo26n_oversampling_30
yolo11n_oversampling_30_aug_soft,30,30,0.341,0.2894,0.2512,0.1809,1.0864,1.8661,1.1215,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo11n_oversampling_30_aug_soft
yolo8n_oversampling_soft_30_aug_batch_32,25,15,0.3882,0.2767,0.2509,0.1693,1.1928,1.8247,1.1376,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_oversampling_soft_30_aug_batch_32
yolo8n_oversampling_soft_30_aug,30,27,0.2762,0.2872,0.2428,0.1717,1.0862,1.853,1.1068,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_oversampling_soft_30_aug
yolo8n_4clases_30,30,27,0.2893,0.2448,0.2191,0.1504,1.1337,1.8401,1.0848,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_4clases_30
yolo8n_4clases_20,20,20,0.2292,0.2911,0.2025,0.142,1.0889,1.7879,1.0393,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_4clases_20
yolo8n_20epochs,20,18,0.4399,0.2497,0.2012,0.1498,1.0547,1.7874,1.0477,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_20epochs
yolo8s_20epochs,20,14,0.4859,0.2237,0.1955,0.1328,1.1552,1.7804,1.1352,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8s_20epochs
yolo8n_aug_soft_30,30,24,0.4453,0.2129,0.185,0.1341,1.1171,1.9145,1.0701,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_aug_soft_30
yolo8n_aug_30,30,29,0.4903,0.2055,0.179,0.1262,1.0861,1.7907,1.0668,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\yolo8n_aug_30
test_cuda,1,1,0.0117,0.3724,0.0845,0.0558,1.1311,3.2886,1.038,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\test_cuda
test_cuda-2,1,1,0.0117,0.3724,0.0845,0.0558,1.1311,3.2886,1.038,C:\Users\Usuario\Documents\MUIARFID\ARA\garbage_detection_model\outputs\runs\test_cuda-2
